method,method_raw,function,dims,run_id,seed,fes,error
IWOA_Strict[full],iwoa,F12022,2,0,13103,1,46292.50522445705
IWOA_Strict[full],iwoa,F12022,2,0,13103,50,30.322741703647694
IWOA_Strict[full],iwoa,F12022,2,0,13103,100,30.322741703647694
IWOA_Strict[full],iwoa,F12022,2,0,13103,150,30.322741703647694
IWOA_Strict[full],iwoa,F12022,2,0,13103,200,30.322741703647694
IWOA_Strict[full],iwoa,F12022,2,1,14103,1,137101.86120152246
IWOA_Strict[full],iwoa,F12022,2,1,14103,50,2025.3503530257176
IWOA_Strict[full],iwoa,F12022,2,1,14103,100,1342.5328648135173
IWOA_Strict[full],iwoa,F12022,2,1,14103,150,8.941299464283361
IWOA_Strict[full],iwoa,F12022,2,1,14103,200,8.941299464283361
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,0,12841,1,167318.59202400027
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,0,12841,50,39.68743568959928
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,0,12841,100,39.68743568959928
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,0,12841,150,39.68743568959928
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,0,12841,200,39.68743568959928
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,1,13841,1,2334.401161758746
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,1,13841,50,233.83778167188848
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,1,13841,100,233.83778167188848
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,1,13841,150,35.714663084186896
IWOA_Strict[no_restart],iwoa:no_restart,F12022,2,1,13841,200,35.714663084186896
WOA,woa,F12022,2,0,12616,1,24145.867644877864
WOA,woa,F12022,2,0,12616,50,154.54561294244536
WOA,woa,F12022,2,0,12616,100,154.54561294244536
WOA,woa,F12022,2,0,12616,150,81.90797181538323
WOA,woa,F12022,2,0,12616,200,8.322129544282348
WOA,woa,F12022,2,1,13616,1,129715025.87232465
WOA,woa,F12022,2,1,13616,50,1005.6025822180554
WOA,woa,F12022,2,1,13616,100,1005.6025822180554
WOA,woa,F12022,2,1,13616,150,30.990619893628377
WOA,woa,F12022,2,1,13616,200,22.727003472784986
