function,dims,method,fes,median_error,q25_error,q75_error,mean_error
F12022,2,IWOA_Strict[full],1,91697.18321298975,68994.8442187234,114399.52220725612,91697.18321298975
F12022,2,IWOA_Strict[full],50,1027.8365473646827,529.0796445341651,1526.5934501952001,1027.8365473646827
F12022,2,IWOA_Strict[full],100,686.4278032585826,358.3752724811151,1014.48033403605,686.4278032585826
F12022,2,IWOA_Strict[full],150,19.632020583965527,14.286660024124444,24.97738114380661,19.632020583965527
F12022,2,IWOA_Strict[full],200,19.632020583965527,14.286660024124444,24.97738114380661,19.632020583965527
F12022,2,IWOA_Strict[no_restart],1,84826.49659287951,43580.448877319126,126072.54430843989,84826.49659287951
F12022,2,IWOA_Strict[no_restart],50,136.76260868074388,88.22502218517158,185.30019517631618,136.76260868074388
F12022,2,IWOA_Strict[no_restart],100,136.76260868074388,88.22502218517158,185.30019517631618,136.76260868074388
F12022,2,IWOA_Strict[no_restart],150,37.70104938689309,36.70785623553999,38.694242538246186,37.70104938689309
F12022,2,IWOA_Strict[no_restart],200,37.70104938689309,36.70785623553999,38.694242538246186,37.70104938689309
F12022,2,WOA,1,64869585.86998476,32446865.86881482,97292305.8711547,64869585.86998476
F12022,2,WOA,50,580.0740975802504,367.3098552613479,792.838339899153,580.0740975802504
F12022,2,WOA,100,580.0740975802504,367.3098552613479,792.838339899153,580.0740975802504
F12022,2,WOA,150,56.449295854505806,43.71995787406709,69.17863383494452,56.449295854505806
F12022,2,WOA,200,15.524566508533667,11.923348026408007,19.125784990659326,15.524566508533667
