method,function,dims,run_id,seed,max_fes,fes_used,best_fit,f_global,error,wall_time_s
WOA,F12022,2,0,12616,200,200,308.32212954428235,300.0,8.322129544282348,0.002999544143676758
IWOA_Strict[full],F12022,2,0,13103,200,200,330.3227417036477,300.0,30.322741703647694,0.0029985904693603516
IWOA_Strict[no_init],F12022,2,0,12546,200,200,610.5418614838944,300.0,310.5418614838944,0.0049991607666015625
IWOA_Strict[no_qr],F12022,2,0,12551,200,200,2111.761570720305,300.0,1811.761570720305,0.0030088424682617188
IWOA_Strict[no_lpsr],F12022,2,0,13028,200,200,311.6136272524924,300.0,11.613627252492392,0.0029914379119873047
IWOA_Strict[no_restart],F12022,2,0,12841,200,200,339.6874356895993,300.0,39.68743568959928,0.0020003318786621094
IWOA_Strict[no_crossover],F12022,2,0,13088,200,200,519.0025564706382,300.0,219.00255647063818,0.003006458282470703
IWOA_Strict[no_levy],F12022,2,0,12696,200,200,511.9412195909963,300.0,211.9412195909963,0.0029931068420410156
IWOA_Strict[no_chaos],F12022,2,0,13313,200,200,326.37566712538825,300.0,26.375667125388247,0.0029985904693603516
IWOA_Strict[no_nelder_mead],F12022,2,0,12423,200,200,584.2508921737863,300.0,284.25089217378627,0.0030007362365722656
