method,function,dims,max_fes,runs,success_le_1e-08,success_le_1e-06
IWOA_Strict[full],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_chaos],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_crossover],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_init],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_levy],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_lpsr],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_nelder_mead],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_qr],F12022,2,200,1,0.0,0.0
IWOA_Strict[no_restart],F12022,2,200,1,0.0,0.0
WOA,F12022,2,200,1,0.0,0.0
